currentState;newState;ts;
IDLE;FAULT;2021-02-24T16:45:14.283Z;
IDLE;BURN;2021-02-24T16:45:14.356Z;
BURN;VGR_TRANSPORT;2021-02-24T16:45:32.329Z;
VGR_TRANSPORT;TABLE_SAW;2021-02-24T16:45:50.374Z;
TABLE_SAW;TABLE_BELT;2021-02-24T16:45:59.267Z;
TABLE_BELT;EJECT;2021-02-24T16:46:00.478Z;
EJECT;TRANSPORT;2021-02-24T16:46:01.166Z;
TRANSPORT;IDLE;2021-02-24T16:46:04.392Z;
