currentState;newState;ts;
IDLE;START;2021-02-24T16:55:08.858Z;
START;COLOR_DETECTION;2021-02-24T16:55:08.944Z;
COLOR_DETECTION;START_COUNT;2021-02-24T16:55:14.301Z;
START_COUNT;CHECK_COUNT;2021-02-24T16:55:14.403Z;
CHECK_COUNT;EJECTION_WHITE;2021-02-24T16:55:15.025Z;
EJECTION_WHITE;SORTED;2021-02-24T16:55:15.640Z;
SORTED;IDLE;2021-02-24T16:55:16.917Z;
