currentState;newState;ts;
IDLE;FAULT;2021-02-24T16:54:19.504Z;
IDLE;BURN;2021-02-24T16:54:19.807Z;
BURN;VGR_TRANSPORT;2021-02-24T16:54:37.763Z;
VGR_TRANSPORT;TABLE_SAW;2021-02-24T16:54:55.726Z;
TABLE_SAW;TABLE_BELT;2021-02-24T16:55:04.705Z;
TABLE_BELT;EJECT;2021-02-24T16:55:05.597Z;
EJECT;TRANSPORT;2021-02-24T16:55:06.479Z;
TRANSPORT;IDLE;2021-02-24T16:55:09.834Z;
