currentState;newState;ts;
IDLE;FETCH_WP_VGR_ORDER;2021-02-24T16:50:08.862Z;
FETCH_WP_VGR_ORDER;VGR_WAIT_FETCHED;2021-02-24T16:50:20.667Z;
VGR_WAIT_FETCHED;MOVE_VGR2MPO;2021-02-24T16:50:40.543Z;
MOVE_VGR2MPO;START_PRODUCE;2021-02-24T16:51:06.870Z;
START_PRODUCE;IDLE;2021-02-24T16:51:07.288Z;
IDLE;NFC_PRODUCED;2021-02-24T16:52:10.731Z;
NFC_PRODUCED;MOVE_PICKUP_WAIT;2021-02-24T16:52:27.491Z;
MOVE_PICKUP_WAIT;MOVE_PICKUP;2021-02-24T16:52:43.919Z;
MOVE_PICKUP;IDLE;2021-02-24T16:52:44.221Z;
