currentState;newState;ts;
IDLE;FETCH_WP_VGR_ORDER;2021-02-24T16:38:01.457Z;
FETCH_WP_VGR_ORDER;VGR_WAIT_FETCHED;2021-02-24T16:38:12.919Z;
VGR_WAIT_FETCHED;MOVE_VGR2MPO;2021-02-24T16:38:33.003Z;
MOVE_VGR2MPO;START_PRODUCE;2021-02-24T16:39:00.036Z;
START_PRODUCE;IDLE;2021-02-24T16:39:00.254Z;
IDLE;NFC_PRODUCED;2021-02-24T16:40:02.440Z;
NFC_PRODUCED;MOVE_PICKUP_WAIT;2021-02-24T16:40:19.715Z;
MOVE_PICKUP_WAIT;MOVE_PICKUP;2021-02-24T16:40:36.124Z;
MOVE_PICKUP;IDLE;2021-02-24T16:40:36.366Z;
