currentState;newState;ts;
IDLE;FAULT;2021-02-24T16:38:59.066Z;
IDLE;BURN;2021-02-24T16:38:59.215Z;
BURN;VGR_TRANSPORT;2021-02-24T16:39:17.351Z;
VGR_TRANSPORT;TABLE_SAW;2021-02-24T16:39:33.055Z;
TABLE_SAW;TABLE_BELT;2021-02-24T16:39:42.141Z;
TABLE_BELT;EJECT;2021-02-24T16:39:43.300Z;
EJECT;TRANSPORT;2021-02-24T16:39:43.927Z;
TRANSPORT;IDLE;2021-02-24T16:39:47.253Z;
