currentState;newState;ts;
IDLE;FAULT;2021-02-24T16:48:08.510Z;
IDLE;BURN;2021-02-24T16:48:08.541Z;
BURN;VGR_TRANSPORT;2021-02-24T16:48:26.476Z;
VGR_TRANSPORT;TABLE_SAW;2021-02-24T16:48:44.315Z;
TABLE_SAW;TABLE_BELT;2021-02-24T16:48:53.217Z;
TABLE_BELT;EJECT;2021-02-24T16:48:54.346Z;
EJECT;TRANSPORT;2021-02-24T16:48:55.055Z;
TRANSPORT;IDLE;2021-02-24T16:48:58.399Z;
